,id,expectedmoney,capital,foodtype_고기,foodtype_디저트,foodtype_베이커리,foodtype_분식,foodtype_일식,foodtype_중식,foodtype_치킨,foodtype_커피,foodtype_패스트푸드,foodtype_퓨전음식,foodtype_한식,locate_경기,locate_서울,locate_인천
142,722195,3070.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
143,721056,1950.0,23000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
145,722095,1470.0,21500,1,0,0,0,0,0,0,0,0,0,0,0,1,0
146,723588,3070.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
147,679635,3700.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
148,723603,3070.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,723594,3070.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
150,701697,1420.0,14000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
152,721108,1950.0,23000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
153,721725,1152.0,16000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
154,722164,3070.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
155,681915,2350.0,28500,1,0,0,0,0,0,0,0,0,0,0,0,1,0
156,623450,2350.0,28500,1,0,0,0,0,0,0,0,0,0,0,0,1,0
157,722228,685.0,8000,0,0,0,0,0,0,0,0,0,0,1,0,1,0
160,722225,685.0,8000,0,0,0,0,0,0,0,0,0,0,1,0,1,0
161,722229,685.0,8000,0,0,0,0,0,0,0,0,0,0,1,0,1,0
162,723666,2250.0,14000,0,0,0,0,0,0,0,0,0,0,1,0,1,0
163,723106,840.0,8000,0,0,0,0,0,0,0,0,1,0,0,1,0,0
164,682688,1270.0,23000,0,0,0,0,0,0,0,0,1,0,0,0,0,1
165,722861,1400.0,45000,0,0,0,0,0,0,0,0,1,0,0,0,1,0
166,718585,1100.0,15000,0,0,0,0,0,0,0,0,1,0,0,0,1,0
167,721565,1100.0,12000,0,0,0,0,0,0,0,0,1,0,0,0,1,0
168,722515,1020.0,9000,0,0,0,0,0,0,0,0,1,0,0,0,1,0
169,716972,1020.0,12000,0,0,0,0,0,0,0,0,1,0,0,1,0,0
171,698805,760.0,7000,0,0,0,0,0,0,0,0,1,0,0,1,0,0
174,723203,1600.0,19500,0,0,0,0,0,0,1,0,0,0,0,0,1,0
175,712504,630.0,7000,0,0,0,0,0,0,1,0,0,0,0,1,0,0
176,710945,1180.0,14000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
177,715760,550.0,6000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
178,710993,1650.0,12000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
179,704763,850.0,6000,0,0,0,0,0,0,1,0,0,0,0,1,0,0
180,649220,2050.0,23000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
181,715417,1030.0,24000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
182,723237,1100.0,23000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
183,701675,1650.0,30000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
184,698806,1350.0,40000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
185,721759,700.0,30000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
186,652104,1500.0,30000,0,0,1,0,0,0,0,0,0,0,0,0,0,1
187,720113,1500.0,50000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
188,677331,950.0,50000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
190,719236,900.0,30000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
191,722184,1780.0,20000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
193,715432,750.0,30000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
194,715395,740.0,30000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
195,718147,1400.0,30000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
196,721784,1190.0,60000,0,0,1,0,0,0,0,0,0,0,0,0,0,1
197,705491,1190.0,60000,0,0,1,0,0,0,0,0,0,0,0,0,0,1
198,718146,1300.0,20000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
199,721122,1400.0,30000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
201,721752,900.0,70000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
202,722849,780.0,20000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
203,712465,990.0,20000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
204,723430,950.0,40000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
205,652072,1000.0,20000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
206,716938,900.0,30000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
209,723510,950.0,40000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
211,705497,900.0,70000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
212,722134,1100.0,20000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
213,723327,6941.0,80000,0,0,0,0,1,0,0,0,0,0,0,1,0,0
214,723104,3376.0,120000,0,0,0,0,1,0,0,0,0,0,0,1,0,0
215,723107,3376.0,120000,0,0,0,0,1,0,0,0,0,0,0,1,0,0
216,714515,2600.0,20000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
217,722895,900.0,10000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
218,720590,3400.0,120000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
219,721110,2500.0,50000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
220,716872,2500.0,50000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
221,714306,590.0,30000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
222,710420,3000.0,30000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
223,609428,3000.0,30000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
224,721070,2500.0,50000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
225,723446,930.0,20000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
226,721118,1400.0,10000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
227,723485,930.0,20000,0,1,0,0,0,0,0,0,0,0,0,0,0,1
228,721117,1250.0,10000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
229,673023,900.0,10000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
230,723405,930.0,20000,0,1,0,0,0,0,0,0,0,0,0,0,0,1
231,723526,930.0,20000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
232,720348,1230.0,20000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
233,723096,2150.0,17000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
234,720232,1050.0,18000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
235,712435,2649.0,33000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
236,723688,4150.0,25000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
237,720361,2300.0,26000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
238,712654,2649.0,33000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
241,715818,4150.0,25000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
242,721014,715.0,7500,0,0,0,0,0,1,0,0,0,0,0,0,1,0
243,723648,4150.0,25000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
244,597991,900.0,7000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
246,721716,580.0,5000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
247,723016,2150.0,17000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
248,723169,750.0,19000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
249,721585,2000.0,10000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
250,721453,1080.0,20000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
251,720648,1800.0,20000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
252,720167,1460.0,20000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
253,720122,1460.0,20000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
254,721023,1080.0,20000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
255,721755,960.0,20000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
256,720197,1460.0,20000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
257,696025,2000.0,10000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
258,695562,1300.0,10000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
259,720647,1080.0,12000,0,0,0,0,1,0,0,0,0,0,0,1,0,0
260,650871,1000.0,8000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
261,716883,1250.0,10000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
262,716884,1400.0,10000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
263,723445,930.0,20000,0,1,0,0,0,0,0,0,0,0,0,0,0,1
264,723406,930.0,20000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
265,668729,950.0,10000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
266,679310,900.0,10000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
267,668725,900.0,10000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
268,723486,930.0,20000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
269,665710,900.0,10000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
